Run, Event, px, py, pz, energy
146436, 90895144, 1.63173, 2.88179, 33.6908, 33.8638
146436, 90895144, 3.19254, -0.561712, -29.8701, 30.0604
146436, 90895144, -1.29286, -2.76759, -118.62, 118.663
146436, 90895144, -3.00403, -0.475231, -66.0591, 66.1354
146436, 90641193, -2.60791, 9.14288, 35.5862, 36.8694
146436, 90641193, 6.62566, 2.01448, -5.47813, 9.1421
146436, 90641193, -2.67777, -5.20478, 84.8539, 85.0737
146436, 90641193, 1.6455, -5.36028, -3.12306, 6.59934
146436, 90641193, 1.50456, -4.92525, 8.67265, 10.2189
146436, 90641193, -4.8937, 1.46509, 28.8812, 29.3598
146436, 90641193, 4.53813, 1.87133, 0.74717, 5.15807
146436, 90641193, -3.25256, -3.63409, -2.96313, 5.9057
146436, 90641193, 2.55625, 3.97403, -79.9949, 80.1447
146436, 90641193, 3.95838, -2.53871, -5.46968, 7.39878
146436, 90641193, -1.55853, 4.42914, -11.547, 12.5244
146436, 90641193, 4.44165, 0.952079, -41.012, 41.2883
146436, 90641193, 0.348883, 3.76744, 0.906049, 4.10023
146436, 90641193, 2.90562, 2.19202, 82.2387, 82.3249
146436, 90641193, 1.73698, -3.11867, 12.7662, 13.3188
146436, 90641193, -2.8443, 1.59351, -152.326, 152.364
146436, 90641193, 0.674329, -3.08681, -5.63404, 6.57445
146436, 90650425, -22.0506, 20.4444, 76.5316, 82.3303
146436, 90650425, 15.3514, -16.9225, -14.9386, 28.0172
146436, 90650425, -4.29797, 13.749, 16.8884, 22.3993
146436, 90650425, -5.63746, -11.7727, -150.534, 151.116
146436, 90650425, 3.56669, -11.0494, 44.991, 46.6177
146436, 90650425, 7.90231, 4.61789, -14.7262, 17.3824
146436, 90650425, 9.10584, -0.735023, -17.5629, 19.9488
146436, 90650425, -1.11274, 8.41354, 18.777, 20.6059
146436, 90650425, -1.92407, 7.02367, 2.86894, 7.96647
146436, 90650425, 1.53724, 6.98003, 0.882593, 7.36196
146436, 90650425, 4.89346, -3.07224, -33.7762, 34.2861
146436, 90650425, -3.20855, 4.671, -1.72021, 6.13412
146436, 90650425, -3.26747, 3.29822, 121.241, 121.334
146436, 90650425, -4.60136, 0.269149, 20.6099, 21.142
146436, 90650425, 4.24925, 1.03646, 19.7501, 20.2519
146436, 90650425, -3.04754, 0.979881, 5.10244, 6.06122
146436, 90657345, 0.746463, 14.2382, 3.66827, 15.0543
146436, 90657345, 6.75134, 5.30772, 187.04, 187.244
146436, 90657345, -4.32352, -6.93772, 45.0243, 45.8027
146436, 90657345, -3.43104, -3.68536, 200.532, 200.601
146436, 90657345, 3.05786, 3.1703, -195.06, 195.112
146436, 90657345, 4.00755, -0.32352, -31.3842, 31.6436
146436, 90681801, -20.847, 29.1737, 129.471, 134.887
146436, 90681801, 10.7228, 1.19088, 28.3554, 30.5207
146436, 90681801, -2.86206, -9.06065, 293.122, 293.293
146436, 90681801, -4.5459, -7.5241, 8.43498, 12.482
146436, 90681801, 3.35308, -6.99962, 67.8194, 68.297
146436, 90681801, 5.65874, -3.23236, 83.3875, 83.6603
146436, 90681801, -4.2704, -4.62077, -2.45536, 6.96811
146436, 90681801, 4.13698, 4.35198, 171.503, 171.615
146436, 90681801, -0.825678, 5.8435, 2.96919, 6.78712
146436, 90681801, -4.7669, -2.29018, 110.755, 110.887
146436, 90681801, 4.90167, 0.476829, 0.223418, 5.07363
146436, 90681801, 3.10387, 3.1385, 1.85721, 4.97348
146436, 90681801, -1.93084, 3.85166, -13.6751, 14.4055
146436, 90681801, 0.944537, 4.01326, 17.2077, 17.7269
146436, 90681801, -2.89777, 2.83136, -6.5208, 7.82365
146436, 90681801, 3.41305, -1.8482, 3.94757, 5.66605
146436, 90681801, 2.74607, -1.73543, 0.358892, 3.3426
146436, 90681801, 3.09059, 0.446328, 78.1804, 78.2452
146436, 90681801, -0.918044, -2.98071, -43.0997, 43.2191
146436, 90689489, -17.4672, 14.8805, 10.154, 25.2108
146436, 90689489, 16.3131, -8.72771, 36.0471, 40.6232
146436, 90689489, -2.22003, 3.23074, 6.69531, 7.81693
146436, 90689489, 2.36986, 2.54955, 129.356, 129.405
146436, 90697513, 3.27198, 0.142858, 4.79401, 5.80593
146436, 90697513, 2.9984, 0.130913, -0.192035, 3.0074
146436, 90726609, 13.2011, -5.05655, -24.6856, 28.6278
146436, 90726609, -5.93338, -11.8016, -0.556244, 13.7302
146436, 90726609, -7.33989, 8.71467, -64.7403, 65.8194
146436, 90726609, -0.470747, 5.0025, -1.16376, 5.46232
146436, 90726609, 3.19944, -3.39915, 4.06294, 6.2616
146436, 90726609, -2.34358, 3.62995, -144.508, 144.577
146436, 90726609, -0.282039, -4.10906, 6.57677, 7.78462
146436, 90726609, -2.7983, -2.8968, 19.2149, 19.6786
146436, 90726609, 3.38652, 1.55671, -4.59053, 6.04121
146436, 90726609, 3.08007, 2.033, -14.4027, 14.9042
146436, 90726609, -0.965784, -2.92288, 25.3727, 25.5587
146436, 90726609, -2.20503, 2.04943, 99.5276, 99.5774
146436, 90759097, -34.3148, 15.2127, -41.4197, 56.5513
146436, 90759097, 27.1274, -2.76728, 36.8339, 46.1449
146436, 90759097, 8.4616, 10.2042, 22.8729, 26.7163
146436, 90759097, -7.39987, -5.49324, -4.96037, 10.7435
146436, 90759097, 5.87372, -2.06021, 48.1595, 48.5878
146436, 90759097, -2.42662, -4.83483, -117.694, 117.824
146436, 90759097, 0.558529, 4.90384, 13.1679, 14.1375
146436, 90759097, 0.396313, -4.72899, 230.26, 230.313
146436, 90759097, -3.08152, -3.22138, 60.1977, 60.3749
146436, 90759097, 0.548729, 4.12309, -55.1973, 55.3646
146436, 90759097, 2.87104, -2.87274, 91.1305, 91.228
146436, 90759097, -3.75036, -0.185798, -2.35726, 4.57095
146436, 90759097, -2.51017, 2.57448, 210.91, 210.944
146436, 90759097, 3.4281, 0.566658, -14.5318, 14.9671
146436, 90759097, 2.87239, 1.58783, -64.2165, 64.3043
146436, 90759097, -3.22245, -0.465727, 103.873, 103.928
146436, 90759097, -1.89422, 2.55784, -1.93452, 3.86558
146436, 90759097, 1.11463, -2.93241, 29.1722, 29.352
