Run, Event, particleType, px, py, pz, energy, pt
146436, 90626440, 1, 0.561778, 0.403784, -3.16681, 3.2445, 0.691835
146436, 90626440, 1, -0.721231, -0.204665, -3.23628, 3.32491, 0.749708
146436, 90626440, 4, -0.0645275, 0.0180917, -0.289002, 0.296671, 0.0670158
146436, 90626440, 1, -0.0317902, -0.429873, 0.162194, 0.481236, 0.431047
146436, 90626440, 1, 0.607281, -0.0661938, 0.328263, 0.707395, 0.610878
146436, 90626440, 1, -0.315518, 0.268952, 0.259995, 0.508885, 0.414593
146436, 90626440, 1, -0.473787, 0.220586, 0.794793, 0.96141, 0.52262
146436, 90626440, 4, 0.187658, 0.0784146, 1.15267, 1.17048, 0.203382
146436, 90626440, 1, -0.481922, 0.0840206, 1.72206, 1.79563, 0.489191
146436, 90626440, 1, -0.142575, -0.421766, 0.570131, 0.736711, 0.445212
146436, 90626440, 5, 4.51285, -2.92767, 51.0691, 51.3516, 5.37932
146436, 90626440, 1, -0.0883782, 0.382423, 0.460819, 0.621202, 0.392502
146436, 90626440, 1, 0.0940091, 0.32787, 0.526422, 0.642601, 0.341081
146436, 90626440, 1, -0.35314, -0.325039, 1.23335, 1.33079, 0.479956
146436, 90626440, 1, -0.212641, -0.235243, 0.112263, 0.364196, 0.317105
146436, 90626440, 5, 0.645194, -0.173528, 5.36178, 5.40325, 0.668122
146436, 90626440, 1, 0.297949, 0.0768782, 0.322266, 0.466925, 0.307708
146436, 90626440, 1, 0.313676, 0.0726642, 0.00917394, 0.351051, 0.321982
146436, 90626440, 5, 0.714188, -0.722845, 8.69905, 8.7582, 1.01615
146436, 90626440, 1, -0.618522, -1.05225, -0.948388, 1.552, 1.22057
146436, 90626440, 1, -0.140214, -0.386808, 0.356156, 0.561789, 0.411436
146436, 90626440, 1, -0.00900374, -0.502305, -1.16758, 1.27872, 0.502386
146436, 90626440, 1, 0.305374, 0.09667, -1.23139, 1.28, 0.320309
146436, 90626440, 1, -0.330265, -0.0987689, -0.51443, 0.634782, 0.344717
146436, 90626440, 1, 0.315674, 0.0587588, -0.0700462, 0.357056, 0.321096
146436, 90626440, 1, 0.297341, -0.297655, -0.620713, 0.762741, 0.420726
146436, 90626440, 1, -0.349609, 0.296511, 0.857452, 0.982268, 0.458417
146436, 90626440, 1, -0.917923, -0.15679, 0.7166, 1.18328, 0.931218
146436, 90626440, 1, 0.529573, 0.55433, -0.11218, 0.787269, 0.766635
146436, 90626440, 1, 0.517311, 0.179787, -1.72524, 1.81545, 0.547663
146436, 90626440, 1, -0.234723, -0.0730462, 0.285975, 0.40211, 0.245826
146436, 90626440, 1, -0.108241, -0.0366207, 0.258756, 0.315423, 0.114268
146436, 90626440, 1, -0.166454, -0.249921, 0.291151, 0.440927, 0.300279
146436, 90626440, 1, -0.0854476, -0.0285474, 0.177684, 0.243244, 0.0900902
146436, 90626440, 1, -0.0251142, -0.242044, 0.434289, 0.517013, 0.243343
146436, 90626440, 1, -0.054666, -0.111972, 0.0572911, 0.195674, 0.124604
146436, 90626440, 1, 0.0316847, -0.280504, 0.766084, 0.828282, 0.282288
146436, 90626440, 1, 0.0028421, -0.40765, 0.858334, 0.960418, 0.40766
146436, 90626440, 1, 0.110947, -0.191021, 0.0431388, 0.264838, 0.220904
146436, 90626440, 1, 0.0475092, -0.257244, -0.587171, 0.657785, 0.261595
146436, 90626440, 1, 0.109133, -0.177744, 0.704231, 0.747613, 0.208574
146436, 90626440, 1, 0.127515, -0.273721, -0.351883, 0.484236, 0.301966
146436, 90626440, 1, 0.0865115, -0.00308608, -0.22427, 0.277976, 0.0865666
146436, 90626440, 1, 0.105564, -0.0712686, -0.185196, 0.264576, 0.127369
146436, 90626440, 1, 0.25519, -0.0561736, 1.0843, 1.12404, 0.261299
146436, 90626440, 1, 0.24015, -0.0342573, 0.246404, 0.372881, 0.242581
